EventName,DisasterType,City,Latitude,Longitude,Year,Fatalities,Injuries,InsuredCostMillions,Month,State,state_year
Flood - Melbourne and Victoria ,Flood,Melbourne,-37.8136,144.9631,1934,36,,,11,Victoria,Victoria_1934
Flood - Geelong,Flood,Geelong,-38.004526,144.309072,2015,,,11700000,1,Victoria,Victoria_2015
Flood - Nowra Flood,Flood,Nowra,-34.903366,150.620156,1860,16,,,2,Australian Capital Territory,Australian Capital Territory_1860
"Severe Storm - Thunderstorm Asthma, 2016",Storm,Melbourne,-37.813255,144.963273,2016,9,,,11,Victoria,Victoria_2016
"Hail - North Sydney hailstorm, 2017",Storm,North sydney,-33.960261,151.05091,2017,,,328000000,2,Australian Capital Territory,Australian Capital Territory_2017
Hail - Sydney,Storm,Sydney,-34.033591,150.999672,1947,,,415000000,12,Australian Capital Territory,Australian Capital Territory_1947
Hail - Lismore,Storm,Lismore (NSW),-28.214401,153.217536,2007,,,97000000,10,New South Wales,New South Wales_2007
Hail - Sydney Hailstorm,Storm,Sydney,-34.100969,151.191418,2015,,,470819649,4,Australian Capital Territory,Australian Capital Territory_2015
Hail - Lake Grace,Storm,Bunbury,-33.39481,115.30505,2005,,,10000000,10,Western Australia,Western Australia_2005
Storm - Severe storm Sydney,Storm,Sydney,-33.885924,150.56073,2015,,,220000000,12,Australian Capital Territory,Australian Capital Territory_2015
Hail - Gold Coast ,Storm,Brisbane,-27.4698,153.0251,2005,,,61000000,10,New South Wales,New South Wales_2005
Hail - Brisbane,Storm,Brisbane,-27.859207,153.345955,2005,,,17600000,5,New South Wales,New South Wales_2005
Hail - South East Queensland,Storm,"Brisbane , Bundaberg , Lismore (QLD)",-27.07056,152.89563,2004,1,,28500000,1,Queensland,Queensland_2004
Hail - Sydney,Storm,Sydney,-34.033591,150.999672,1947,1,,1700000000,4,Australian Capital Territory,Australian Capital Territory_1947
Hail - Brisbane and Region,Storm,Brisbane,-27.524632,152.616334,1998,,,76000000,12,New South Wales,New South Wales_1998
Hail - Singleton,Storm,Sydney,-33.875144,151.208522,1996,,,49000000,12,Australian Capital Territory,Australian Capital Territory_1996
Hail - Armidale and Tamworth,Storm,Tamworth,-31.227745,150.955254,1996,,,104000000,9,Australian Capital Territory,Australian Capital Territory_1996
Hail - Brisbane and South East Queensland,Storm,Brisbane,-27.623537,153.100563,1995,1,,40000000,11,Queensland,Queensland_1995
Hail - Adelaide,Storm,Adelaide,-34.929797,138.602243,1991,,,30000000,1,South Australia,South Australia_1991
Hail - Western Sydney,Storm,Sydney,-33.928777,151.377675,1986,,,319000000,3,Australian Capital Territory,Australian Capital Territory_1986
Hail - Western Sydney,Storm,Sydney,-33.928777,151.377675,1986,,,104000000,10,Australian Capital Territory,Australian Capital Territory_1986
Hail - Orange,Storm,Dubbo,-32.017915,148.789123,1986,,,25000000,1,New South Wales,New South Wales_1986
Hail - Brighton ,Storm,Brisbane,-27.4698,153.0251,1980,,,15000000,12,New South Wales,New South Wales_1980
Hail - Port Broughton,Storm,Whyalla,-33.323414,137.940373,1979,,,10000000,11,South Australia,South Australia_1979
Hail - Toowoomba,Storm,Brisbane,-27.485043,153.286746,1976,,,12000000,1,New South Wales,New South Wales_1976
Severe Storm - Melbourne,Storm,Melbourne,-37.373296,144.809656,2011,,,680700000,12,Victoria,Victoria_2011
"Severe Storm - Melbourne, Victoria",Storm,Melbourne,-38.402492,144.988123,2010,,,418670000,2,Victoria,Victoria_2010
Severe Storm - Perth,Storm,Perth,-31.829985,115.837779,2010,,,1053000000,3,Western Australia,Western Australia_2010
"Severe Storm - Melbourne, Victoria",Storm,Melbourne,-38.402492,144.988123,2010,,,1044000000,3,Victoria,Victoria_2010
Severe Storm - South East Queensland,Storm,Brisbane,-27.549514,153.422457,2008,1,,309000000,11,Queensland,Queensland_2008
Severe Storm - Southern States Windstorms,Storm,"Adelaide , Mount Gambier (SA) , Murray Bridge (SA) , Hobart , Launceston , Melbourne",-38.659907,142.855721,2008,2,,65000000,4,South Australia,South Australia_2008
Severe Storm - South East Queensland and Northern New South Wales,Storm,"Brisbane , Bundaberg , Lismore (QLD) , Roma",-26.934155,151.857151,2007,,,97000000,10,New South Wales,New South Wales_2007
Severe Storm - New South Wales East Coast Low,Storm,Sydney,-33.924353,151.141154,2007,9,,1480000000,6,New South Wales,New South Wales_2007
Severe Storm - Northern New South Wales,Storm,Lismore (NSW),-28.852505,153.240626,2005,1,,25000000,6,New South Wales,New South Wales_2005
Severe Storm - Bunbury and South Perth,Storm,"Bunbury , Perth",-32.4646,115.224723,2005,,,53200000,5,Western Australia,Western Australia_2005
"Severe Storm - New South Wales, Victoria, Australian Capital Territory, Tasmania and South Australia",Storm,"Sydney , Wollongong , Canberra (ACT) , Cooma (VIC) , Adelaide , Melbourne",-35.393782,147.265914,2005,,,216700000,2,New South Wales,New South Wales_2005
"Severe Storm - South East Queensland, Northern New South Wales, Northern Western Australia. Northern Territory",Storm,"Brisbane , Lismore (NSW) , Broome , Katherine",-22.17177,140.239195,2004,3,,,3,New South Wales,New South Wales_2004
Severe Storm - South Eastern Australia,Storm,"Sydney , Wollongong , Canberra (ACT) , Cooma (VIC) , Warrnambool (VIC) , Wilsons Promontory , Hobart , Melbourne",-37.383197,147.620608,1994,1,,25000000,8,Victoria,Victoria_1994
Severe Storm - Sydney,Storm,Sydney,-33.960423,151.23445,1937,,,10000000,2,Australian Capital Territory,Australian Capital Territory_1937
"Severe Storm - Grafton, Kingscliff and Lismore",Storm,Lismore (NSW),-28.774488,153.267779,2002,,,10000000,1,New South Wales,New South Wales_2002
"Severe Storm - Sydney, Hunter Valley and Northern Regions",Storm,"Sydney , Tamworth , Wollongong",-33.129049,151.01053,2001,2,,30000000,12,Northern Territory,Northern Territory_2001
Severe Storm - Eastern New South Wales,Storm,Sydney,-33.880426,151.215668,2001,3,,30000000,11,New South Wales,New South Wales_2001
Severe Storm - Casino and Region,Storm,Lismore (NSW),-28.568309,152.894808,2001,,,35000000,1,New South Wales,New South Wales_2001
Severe Storm - Sydney and Region,Storm,"Sydney , Wollongong",-34.154794,151.038583,2001,,,12000000,1,Australian Capital Territory,Australian Capital Territory_2001
Storm - Melbourne,Storm,Melbourne,-37.847384,144.960189,2020,3,,,8,Victoria,Victoria_2020
Severe Storm - Dubbo,Storm,Dubbo,-32.248326,148.576834,2001,,,15000000,1,New South Wales,New South Wales_2001
"Severe Storm - Sydney, Wollongong and South Coast ",Storm,"Sydney , Wollongong",-33.8688,151.2093,1999,,,45000000,10,Australian Capital Territory,Australian Capital Territory_1999
Severe Storm - Kosciuszko NP ,Storm,Cooma (NSW),-36.235,149.125,1999,4,,,8,New South Wales,New South Wales_1999
Severe Storm - Warwick ,Storm,"Brisbane , Lismore (QLD)",-27.4698,153.0251,1998,,,23000000,10,Queensland,Queensland_1998
"Severe Storm - Hunter Valley, Tablelands and Southern Highlands",Storm,"Sydney , Wollongong",-34.229385,150.474354,1998,1,,12000000,6,Northern Territory,Northern Territory_1998
Severe Storm - Ipswich,Storm,Brisbane,-27.399807,152.945844,1998,3,,,4,New South Wales,New South Wales_1998
Severe Storm - Sydney,Storm,Sydney,-33.960423,151.23445,1937,1,,10000000,4,Australian Capital Territory,Australian Capital Territory_1937
Severe Storm - Sydney and Regions,Storm,"Dubbo , Sydney , Tamworth",-32.904587,149.928987,1998,,,12000000,2,Australian Capital Territory,Australian Capital Territory_1998
Severe Storm - Nyngan,Storm,Bourke,-30.085722,145.939762,1998,,,12000000,1,New South Wales,New South Wales_1998
Severe Storm - Coffs Harbour,Storm,Tamworth,-30.713315,150.410217,1996,1,,20000000,11,New South Wales,New South Wales_1996
Storm - Queensland Floods and Storms,Storm,Central and South East Queensland,-26.663903,152.067467,2020,,,957000000,10,Queensland,Queensland_2020
Severe Storm - New England and Hunter Valley,Storm,"Sydney , Tamworth",-32.477517,151.131807,1996,1,,10000000,11,Northern Territory,Northern Territory_1996
Severe Storm - Illawarra and Sydney,Storm,"Sydney , Wollongong",-33.965478,151.301027,1996,,,10000000,8,Western Australia,Western Australia_1996
Severe Storm - Hunter Valley and Mid North Coast,Storm,Sydney,-33.913426,151.704841,1995,,,10000000,11,Northern Territory,Northern Territory_1995
Severe Storm - Sydney and Blue Mountains ,Storm,Sydney,-33.8688,151.2093,1994,2,,29000000,11,Northern Territory,Northern Territory_1994
Severe Storm - South Eastern Australia,Storm,"Sydney , Canberra (ACT) , Melbourne",-37.383197,147.620608,1994,1,,,11,Australian Capital Territory,Australian Capital Territory_1994
"Severe Storm - Perth, Mandurah and South-West Coast",Storm,"Bunbury , Geraldton , Perth",-31.307599,115.319829,1994,,,37000000,5,Western Australia,Western Australia_1994
Severe Storm - Sydney,Storm,Sydney,-33.960423,151.23445,1937,,,118000000,2,Australian Capital Territory,Australian Capital Territory_1937
Severe Storm - Orbost,Storm,Cooma (VIC),-36.232629,149.12103,1991,,,12000000,1,Victoria,Victoria_1991
Severe Storm - Sydney,Storm,Sydney,-33.960423,151.23445,1937,1,,138400000,1,Australian Capital Territory,Australian Capital Territory_1937
Severe Storm - Ballarat,Storm,Melbourne,-37.671247,144.461893,1989,,,20000000,11,Victoria,Victoria_1989
Severe Storm - Adelaide,Storm,Adelaide,-35.219307,138.467555,1986,,,10000000,12,Victoria,Victoria_1986
"Severe Storm - Newcastle, Sydney, Wollongong",Storm,"Sydney , Wollongong",-34.157808,151.336693,1978,,,15000000,2,Australian Capital Territory,Australian Capital Territory_1978
Severe Storm - Sydney,Storm,Sydney,-33.960423,151.23445,1937,1,,15000000,1,Australian Capital Territory,Australian Capital Territory_1937
Severe Storm - Western Sydney,Storm,Sydney,-33.752676,151.149453,1976,,,732000000,11,Australian Capital Territory,Australian Capital Territory_1976
Storm - Brisbane,Storm,Brisbane,-27.443505,153.008447,2014,,,1040000000,11,New South Wales,New South Wales_2014
Severe Storm - Sydney,Storm,Sydney,-33.960423,151.23445,1937,4,,,1,Australian Capital Territory,Australian Capital Territory_1937
Storm - Sydney Hailstorm,Storm,Sydney,-33.450915,151.15646,1999,1,,1700000000,4,Australian Capital Territory,Australian Capital Territory_1999
